url,id,prediction,actual,themse,moves,probability,
https://lichess.org/TfRvsd3p/black#84,002xh,FALSE,FALSE,crushing endgame long,Nh4 Kxb5 Ng2 Ka6 Ne3 Kb7,0.14,
https://lichess.org/RMj9gStA/black#72,005qG,FALSE,FALSE,crushing defensiveMove endgame long,f4 Bxd5 fxg3 hxg3 Kxd5 g4,0.19,
https://lichess.org/u5HjwjcV/black#124,00EUu,FALSE,FALSE,crushing defensiveMove endgame long,Rh6+ Kxh6 c1=Q+ g5 Qc6+ Kg7,0.22,
https://lichess.org/VHMkQ50f/black#38,00FGo,FALSE,FALSE,advantage long middlegame,Ke8 Rhg1 Rg8 Rg5 Qxd1+ Kxd1,0.13,
https://lichess.org/W6ARHCTL#95,00HaO,FALSE,FALSE,crushing endgame long rookEndgame,Kf5 Rxe3 Kg5 Rb3 Re6 Rb5+,0.38,
https://lichess.org/jUnUTglG/black#44,00KO5,FALSE,FALSE,advantage endgame long,Qxh2 Rh1 Qc2+ Qxc2 Rxc2 Kxc2,0.11,
https://lichess.org/HiWWZDYW#55,00Rqg,TRUE,TRUE,advantage defensiveMove long middlegame quietMove,Rxe6 Qh7 Qa8+ Bb8 Rc6+ bxc6,0.68,1
https://lichess.org/humRaTMP#33,00SCL,FALSE,FALSE,advantage clearance long middlegame,Bxg6 exd4 Nd5 Qe5 Nxe7+ Qxe7,0.13,
https://lichess.org/VEqrGfJg#91,00WzB,TRUE,TRUE,advancedPawn bishopEndgame crushing endgame promotion quietMove veryLong,Bf1 Ba8 Kd6 e4 Bg2 Kg4 a6 h3 Bh1 e3 Bxa8 exf2 Bf3+ Kg3 a7 f1=Q a8=Q Qxf3,0.54,1
https://lichess.org/U6CzZYMP#21,0122Z,FALSE,FALSE,advantage fork long middlegame sacrifice,Ke3 f4+ Kxe4 Bf5+ Kf3 Qh4,0.16,
https://lichess.org/E3V8WTvF/black#82,013vX,FALSE,FALSE,advancedPawn crushing endgame knightEndgame long,h3 b6 Nd6 Ne7+ Kd7 a7,0.18,
https://lichess.org/alW9L2kD/black#40,0199s,FALSE,FALSE,crushing defensiveMove kingsideAttack long middlegame sacrifice,Qe8 Rxh6+ gxh6 Qxh6+ Kg8 Rh1,0.31,
https://lichess.org/xENaK26y/black#88,019Qi,TRUE,TRUE,crushing endgame long pawnEndgame quietMove,Ke8 Kg7 h5 f5 h4 f6,0.78,
https://lichess.org/oXYJR89c#91,01Epj,TRUE,TRUE,advancedPawn crushing endgame master masterVsMaster promotion queenRookEndgame quietMove veryLong,Kg6 R8f6+ Qxf6 Rxf6+ Kxf6 a4 f5 a3 Kg6 a2 f6 a1=Q,0.59,
https://lichess.org/xBiZzLMA#35,01GHp,FALSE,FALSE,advantage clearance defensiveMove long middlegame,Kh1 Rxf1+ Nxf1 Rf8 Ng3 Re8,0.32,
https://lichess.org/ZZHls8bT/black#58,01IiI,FALSE,FALSE,crushing defensiveMove long middlegame,Qd3 Qf7 Qd8 Rd1 Qc8+ Rd7,0.35,
https://lichess.org/kwsNUNzr#61,01Ovv,FALSE,FALSE,advantage endgame veryLong,Rxa8 Rxa8+ Kb2 Qa7 Qxb4 Qa2+ Kc3 Rc8+,0.11,
https://lichess.org/Td18XdCn/black#42,01RxX,TRUE,TRUE,advantage endgame long pin quietMove,Rxd3 Rec1 Rd6 Nd4 Rxd4 Rxd4,0.79,
https://lichess.org/iIhKzWva#47,01Tpw,FALSE,FALSE,advancedPawn advantage long middlegame,Ka1 b2+ Ka2 Bxd1 Rxd1 c2,0.12,
https://lichess.org/x7l8hJvH#27,01dm7,FALSE,TRUE,advantage capturingDefender long middlegame quietMove,e6 Ne7 Qf4 Qxf4 Bxf4 Bxd4,0.01,
https://lichess.org/0Sy81sko/black#72,01mH1,FALSE,TRUE,crushing endgame knightEndgame long quietMove,g6 fxg6 hxg6 h4 c5+ bxc5+,0.39,
https://lichess.org/WNAGgVqn#73,01pSj,FALSE,TRUE,advancedPawn crushing endgame fork long quietMove,Kh2 Nh5 g3 hxg3+ Kg2 gxf2,0.25,
https://lichess.org/1c1XWvJg#187,01vys,FALSE,TRUE,crushing defensiveMove endgame master masterVsMaster queenEndgame quietMove veryLong zugzwang,Qd6 Qd5+ Qxd5 exd5 Kf3 Kf5 Ke3 Ke5 Kd3 d4 f3 Kd5,0.05,
https://lichess.org/oW1HIbhI/black#74,0248u,TRUE,TRUE,crushing defensiveMove endgame pawnEndgame quietMove veryLong,Ke4 Kxc4 Kxf4 d5 Ke5 Kc5 f4 d6 Ke6 Kc6,0.75,
https://lichess.org/3ji3p5TA#107,02BXF,TRUE,TRUE,crushing defensiveMove endgame quietMove rookEndgame veryLong,Rh4 f5 Kd2 Kg5 Rh8 Kf4 b4 g3 Rh4+ Kf3,0.71,
https://lichess.org/EvCDGrf4#43,02JPn,FALSE,FALSE,advantage fork middlegame veryLong,Qc3 Nxc2 Ng3 Nb4 Nxe4 Nxa2+ Kb1 Nxc3+,0.13,
https://lichess.org/S1e5lzGu#67,02Jyd,TRUE,TRUE,crushing endgame quietMove rookEndgame veryLong,Rc6 Rf4+ Kg1 Re1+ Kh2 Rff1 Rc8+ Ke7 Re5+ Rxe5,0.68,
https://lichess.org/Vjcmkhlj#67,02PHm,TRUE,TRUE,crushing defensiveMove endgame quietMove veryLong,Rg2 Rxg2+ Kxg2 b4 a4 b3 Re1 Bd3,0.82,
https://lichess.org/XsCAIuHa#95,02PiE,TRUE,TRUE,advantage endgame long quietMove,Rg4 Re7 Re4 Qb1 Qe8+ Rxe8,0.72,
