url,id,prediction,actual,themse,moves,probability
https://lichess.org/ZyuTEP3l#39,0066C,True,False,advantage discoveredAttack kingsideAttack long middlegame sacrifice,Bxd5 Bxf2+ Kxf2 Nd4+ Kg1 Nxe6,0.89
https://lichess.org/UdZXrVA5/black#54,008lc,True,True,attraction crushing exposedKing fork long middlegame,Rg7 Qxg7+ Kxg7 Rxe7+ Qxe7 Rxe7+,0.84
https://lichess.org/IQW9ts1W#47,00R4l,False,False,advantage defensiveMove endgame long,Rxa7 Rxa7 Rxa7 Re1+ Bf1 Bf5,0.12
https://lichess.org/AZ4bw2mL/black#68,00kbs,False,False,advantage deflection endgame fork long,Re8 Rxf4 Rxf4 Bxg6+ Kg8 Bxe8,0.41
https://lichess.org/U6CzZYMP#21,0122Z,False,False,advantage fork long middlegame sacrifice,Ke3 f4+ Kxe4 Bf5+ Kf3 Qh4,0.42
https://lichess.org/pCBDwbPH#89,019gx,True,True,attraction endgame long mate mateIn3 rookEndgame sacrifice,Ka5 Ra4+ Kxa4 Ra8+ Ra7 Rxa7#,0.52
https://lichess.org/LlFzgUtg/black#40,01VXI,False,True,attraction crushing middlegame pin veryLong,Qg4 Qh8+ Ng8 Ba3+ Re7 Bxe7+ Kxe7 Qxg7+,0.07
https://lichess.org/14MuiCrV#67,01iLZ,True,True,attraction crushing discoveredAttack endgame long,Rc3 Rh1+ Kxh1 Bxd5+ Kh2 Rxc3,0.71
https://lichess.org/YtQdfMJp/black#56,01xkD,True,True,attraction crushing endgame long pin sacrifice,Rac8 Rxc3 Rxc3 Bb2 Kf8 Bxc3,0.83
https://lichess.org/AantwQbU/black#72,026QC,True,False,crushing endgame long sacrifice,Rc7 a4+ Kxb4 Qe1+ Qc3 bxc3+,0.51
https://lichess.org/n1mQcQwR#39,02Lda,False,False,advantage discoveredAttack kingsideAttack middlegame sacrifice veryLong,Kg1 Rxe5 Qxe5 Nf3+ gxf3 Bxf2+ Kxf2 Qxe5,0.13
https://lichess.org/qZp4t5tw/black#62,02dIM,True,True,attraction long master mate mateIn3 middlegame sacrifice,Rb8 Qg7+ Kxg7 Rh7+ Kf8 Rxf7#,0.64
https://lichess.org/UjBV4gUi#81,030s5,False,False,advantage deflection endgame long sacrifice,Bxf5+ Rxf5+ Rxf5 Re4+ Kf3 Kxf5,0.13
https://lichess.org/9O0b9W1J/black#46,03EPr,False,False,crushing discoveredAttack fork middlegame sacrifice veryLong,g6 Rxa4 Rxa4 Qe5 f6 Qe6+ Kg7 Bxf6+ Qxf6 Qd7+,0.14
https://lichess.org/yqtWDmny/black#84,03JyE,True,True,advancedPawn attraction crushing endgame exposedKing long quietMove,c2 Nf7 Qxf7 exf7+ Kxf7 Qc7+,0.83
