url,id,prediction,actual,themse,moves,probability,
https://lichess.org/TfRvsd3p/black#84,002xh,FALSE,FALSE,crushing endgame long,Nh4 Kxb5 Ng2 Ka6 Ne3 Kb7,0.36,
https://lichess.org/drahwNdj#95,004LZ,FALSE,TRUE,advancedPawn crushing defensiveMove deflection endgame long promotion,Nxg2 c2+ Ka2 c1=Q Rd7+ Ke2,0.37,
https://lichess.org/RMj9gStA/black#72,005qG,TRUE,TRUE,crushing defensiveMove endgame long,f4 Bxd5 fxg3 hxg3 Kxd5 g4,0.68,
https://lichess.org/mXf4gFYU/black#54,0078T,FALSE,TRUE,attraction crushing defensiveMove exposedKing long middlegame queensideAttack sacrifice,dxe3 Rxb7+ Kxb7 Qf7+ Kb8 Be7,0.13,
https://lichess.org/SFxNjHBp#85,00AHY,FALSE,FALSE,advantage endgame long,h5 a3 Rxa3 Rxa3 Re8+ Kh7,0.14,
https://lichess.org/u5HjwjcV/black#124,00EUu,TRUE,TRUE,crushing defensiveMove endgame long,Rh6+ Kxh6 c1=Q+ g5 Qc6+ Kg7,0.81,
https://lichess.org/JyqJknFl#61,00HGG,TRUE,TRUE,crushing defensiveMove endgame long pawnEndgame,g5 fxg5 Kg4 gxf4 Kxf4 Kf6,0.62,
https://lichess.org/IQW9ts1W#47,00R4l,TRUE,TRUE,advantage defensiveMove endgame long,Rxa7 Rxa7 Rxa7 Re1+ Bf1 Bf5,0.695,
https://lichess.org/ZILz4GAu#53,00R8C,FALSE,FALSE,crushing fork master middlegame veryLong,Bxf3 Qf4 Bxg7+ Kh7 Re5 Nxe5 Bxe5 Bxe5 Re1 Qxf3,0.44,
https://lichess.org/HiWWZDYW#55,00Rqg,TRUE,TRUE,advantage defensiveMove long middlegame quietMove,Rxe6 Qh7 Qa8+ Bb8 Rc6+ bxc6,0.83,
https://lichess.org/VEqrGfJg#91,00WzB,FALSE,FALSE,advancedPawn bishopEndgame crushing endgame promotion quietMove veryLong,Bf1 Ba8 Kd6 e4 Bg2 Kg4 a6 h3 Bh1 e3 Bxa8 exf2 Bf3+ Kg3 a7 f1=Q a8=Q Qxf3,0.16,
https://lichess.org/PReNb2iq/black#44,00a2M,TRUE,TRUE,advantage defensiveMove long middlegame,Qc5+ Kb3 Re5 Nxe5 dxe5 Qh4,0.82,
https://lichess.org/FrYWZCWt#29,00bmj,TRUE,TRUE,advantage defensiveMove opening pin veryLong,Qb4+ c5 Qc4 Qe7+ Be2 b5 Qd3 Bf5 Qxd4 cxd4,0.68,
